Tickers,Date,Open,High,Low,Close,Adj Close,Volume
QQQ,2019-03-01,174.44000244140625,174.64999389648438,173.17999267578125,174.38999938964844,168.0164337158203,31431200
QQQ,2019-03-04,175.5399932861328,175.7899932861328,172.47000122070312,174.4199981689453,168.04537963867188,38063500
QQQ,2019-03-05,174.5500030517578,175.08999633789062,173.69000244140625,174.5500030517578,168.17063903808594,22319900
QQQ,2019-03-06,174.72000122070312,174.75,173.27999877929688,173.55999755859375,167.21678161621094,27194600
QQQ,2019-03-07,173.1199951171875,173.17999267578125,170.7899932861328,171.42999267578125,165.16461181640625,39407400
QQQ,2019-03-08,169.50999450683594,171.25999450683594,169.33999633789062,171.1699981689453,164.91415405273438,39303200
QQQ,2019-03-11,171.8800048828125,174.85000610351562,171.85000610351562,174.72999572753906,168.34400939941406,30518400
QQQ,2019-03-12,175.19000244140625,176.13999938964844,174.77000427246094,175.69000244140625,169.26895141601562,33953500
QQQ,2019-03-13,176.60000610351562,177.92999267578125,176.35000610351562,177.00999450683594,170.5406951904297,42426100
QQQ,2019-03-14,177.1300048828125,177.33999633789062,176.66000366210938,176.7100067138672,170.25167846679688,23751500
QQQ,2019-03-15,177.39999389648438,178.8800048828125,177.27999877929688,178.35000610351562,171.8317413330078,38192000
QQQ,2019-03-18,177.9499969482422,178.99000549316406,177.58999633789062,178.4499969482422,172.24098205566406,32935100
QQQ,2019-03-19,179.17999267578125,180.0,178.2899932861328,179.0500030517578,172.82009887695312,36893300
QQQ,2019-03-20,179.05999755859375,180.86000061035156,178.24000549316406,179.75999450683594,173.50538635253906,50105000
QQQ,2019-03-21,179.22000122070312,182.8300018310547,179.1999969482422,182.57000732421875,176.2176513671875,42428500
QQQ,2019-03-22,181.77999877929688,182.27000427246094,178.3699951171875,178.55999755859375,172.34716796875,70794500
QQQ,2019-03-25,177.91000366210938,178.83999633789062,176.92999267578125,178.22000122070312,172.01898193359375,46336500
QQQ,2019-03-26,179.60000610351562,180.69000244140625,178.13999938964844,179.0500030517578,172.82009887695312,33248100
QQQ,2019-03-27,179.32000732421875,179.72000122070312,176.60000610351562,177.89999389648438,171.7101287841797,37096700
QQQ,2019-03-28,178.36000061035156,178.97999572753906,177.24000549316406,178.30999755859375,172.1058349609375,30368200
QQQ,2019-03-29,179.69000244140625,179.8300018310547,178.58999633789062,179.66000366210938,173.40887451171875,35205500
QQQ,2019-04-01,181.50999450683594,182.25999450683594,180.77000427246094,182.0399932861328,175.70608520507812,30969500
QQQ,2019-04-02,182.24000549316406,182.91000366210938,181.77999877929688,182.72999572753906,176.37203979492188,22645200
QQQ,2019-04-03,183.75999450683594,184.9199981689453,183.2100067138672,183.77999877929688,177.38551330566406,31633500
QQQ,2019-04-04,183.8300018310547,184.5,182.64999389648438,183.7100067138672,177.31797790527344,28530800
QQQ,2019-04-05,184.24000549316406,184.77000427246094,184.02000427246094,184.66000366210938,178.23487854003906,25674700
QQQ,2019-04-08,184.36000061035156,185.27999877929688,183.6300048828125,185.1300048828125,178.68856811523438,22697500
QQQ,2019-04-09,184.5,185.11000061035156,184.08999633789062,184.47999572753906,178.0611572265625,25631900
QQQ,2019-04-10,184.72000122070312,185.52999877929688,184.52000427246094,185.47000122070312,179.01670837402344,24563000
QQQ,2019-04-11,185.77999877929688,185.77999877929688,184.69000244140625,185.02999877929688,178.592041015625,20654100
QQQ,2019-04-12,185.85000610351562,185.9499969482422,185.05999755859375,185.8300018310547,179.36419677734375,24989100
QQQ,2019-04-15,185.83999633789062,186.07000732421875,184.6199951171875,185.86000061035156,179.3931427001953,21073000
QQQ,2019-04-16,186.5399932861328,186.91000366210938,185.92999267578125,186.5,180.01089477539062,27195700
QQQ,2019-04-17,187.75,187.92999267578125,186.60000610351562,187.14999389648438,180.6382598876953,29651600
QQQ,2019-04-18,187.4600067138672,187.7899932861328,186.2899932861328,187.38999938964844,180.869873046875,28580900
QQQ,2019-04-22,186.57000732421875,187.99000549316406,186.42999267578125,187.9199981689453,181.38145446777344,17936000
QQQ,2019-04-23,188.39999389648438,190.5399932861328,188.1300048828125,190.30999755859375,183.68832397460938,33665600
QQQ,2019-04-24,190.47000122070312,190.7100067138672,189.64999389648438,189.7100067138672,183.1092071533203,24977100
QQQ,2019-04-25,191.1300048828125,191.22000122070312,189.4499969482422,190.47999572753906,183.85240173339844,29517500
QQQ,2019-04-26,190.17999267578125,190.69000244140625,188.58999633789062,190.64999389648438,184.01651000976562,26359500
QQQ,2019-04-29,190.64999389648438,191.32000732421875,190.33999633789062,191.02000427246094,184.3736114501953,21716200
QQQ,2019-04-30,189.47999572753906,189.85000610351562,188.2100067138672,189.5399932861328,182.94509887695312,31495300
QQQ,2019-05-01,190.77999877929688,191.32000732421875,188.8000030517578,188.92999267578125,182.35633850097656,34797100
QQQ,2019-05-02,188.8699951171875,189.85000610351562,186.8699951171875,188.11000061035156,181.56483459472656,44110100
QQQ,2019-05-03,189.6699981689453,191.25,189.3300018310547,191.11000061035156,184.4604949951172,30386200
QQQ,2019-05-06,187.0500030517578,190.1999969482422,186.75999450683594,189.94000244140625,183.3311767578125,38371800
QQQ,2019-05-07,187.8699951171875,188.6699981689453,184.50999450683594,186.24000549316406,179.7599334716797,58818100
QQQ,2019-05-08,185.6300048828125,187.1699981689453,184.9600067138672,185.77000427246094,179.30625915527344,37165300
QQQ,2019-05-09,183.6999969482422,185.41000366210938,182.08999633789062,184.77000427246094,178.3411102294922,55351700
QQQ,2019-05-10,184.11000061035156,185.88999938964844,181.02999877929688,185.0,178.56307983398438,58526400
QQQ,2019-05-13,180.2899932861328,181.25999450683594,178.05999755859375,178.5800018310547,172.36643981933594,67185800
QQQ,2019-05-14,179.52000427246094,181.6300048828125,178.86000061035156,180.5399932861328,174.25820922851562,43360600
QQQ,2019-05-15,179.35000610351562,183.5500030517578,179.30999755859375,183.08999633789062,176.71954345703125,40944500
QQQ,2019-05-16,183.1699981689453,186.07000732421875,182.9499969482422,184.92999267578125,178.4954833984375,39281200
QQQ,2019-05-17,183.10000610351562,185.5800018310547,182.8800048828125,183.0399932861328,176.67124938964844,44702300
QQQ,2019-05-20,180.49000549316406,181.17999267578125,179.33999633789062,179.9499969482422,173.68881225585938,38608300
QQQ,2019-05-21,181.5,182.3300018310547,180.9199981689453,181.8300018310547,175.50338745117188,31613800
QQQ,2019-05-22,180.82000732421875,182.07000732421875,180.75,181.02000427246094,174.72154235839844,24332600
QQQ,2019-05-23,178.94000244140625,179.02000427246094,177.13999938964844,178.25,172.04791259765625,45351300
QQQ,2019-05-24,179.2100067138672,179.85000610351562,177.94000244140625,178.16000366210938,171.9610595703125,25903300
QQQ,2019-05-28,178.66000366210938,179.66000366210938,177.47000122070312,177.49000549316406,171.31439208984375,24763800
QQQ,2019-05-29,176.38999938964844,177.0,175.08999633789062,176.02999877929688,169.9051513671875,42178800
QQQ,2019-05-30,176.5,177.27000427246094,175.77000427246094,176.77000427246094,170.61944580078125,30354800
QQQ,2019-05-31,174.69000244140625,175.2899932861328,173.8699951171875,173.9499969482422,167.89755249023438,45446200
QQQ,2019-06-03,173.47999572753906,173.9499969482422,169.27000427246094,170.1199951171875,164.20079040527344,75842300
QQQ,2019-06-04,172.02999877929688,174.97000122070312,171.3699951171875,174.91000366210938,168.82411193847656,47797800
QQQ,2019-06-05,176.5800018310547,176.61000061035156,174.3800048828125,176.2100067138672,170.07891845703125,34412700
QQQ,2019-06-06,176.50999450683594,178.0399932861328,175.72999572753906,177.61000061035156,171.4302215576172,29913200
QQQ,2019-06-07,178.55999755859375,181.77000427246094,178.3300018310547,181.0399932861328,174.74082946777344,45888300
