"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","5 Aug 2022","Planning and fulfillment","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67580366.htm","Global planning manager","Current employee, more than 5 years","Bengaluru","Nice work culture, freedom to invent","Growth is less. Stable company with good stability","Show more"
"5.0","19 Mar 2022","ABB - A great place to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW61424541.htm","Project manager","Current employee, more than 10 years","Bengaluru","Management supports to freely execute the plan at work. Employees are encouraged to demonstrate leadership and ownership. Very high standard for OHS and Integrity at work. Beautiful training and learning arrangements. Best project management practices. Highly proactive towards customer/clients.","The best employees who are performing year on year needs to be compensated better.","Show more"
"5.0","11 Aug 2022","Nice company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67798574.htm","Anonymous employee","Current employee, more than 5 years","Bengaluru","","",""
"4.0","18 Aug 2022","Company overview","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68050104.htm","Scm specialist","Former employee, more than 3 years","Bengaluru","","",""
"4.0","19 Aug 2022","Good work environment","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68105637.htm","Sales specialist","Former employee, more than 1 year","Chennai","","",""
"4.0","23 Jul 2022","ABB GBS India","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67075061.htm","Fp&a specialist","Current employee, more than 1 year","Bengaluru","","",""
"4.0","14 Aug 2022","Good company for research activities","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67892906.htm","Research scientist","Current employee, more than 3 years","Bengaluru","","",""
"5.0","19 Aug 2022","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW68111030.htm","Systems engineer","Former employee, more than 3 years","Bengaluru","*Great colleagues
* Lot of hard work required","* lot of travel
*Bad management","Show more"
"4.0","8 Aug 2022","Engineering delivery manager","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67650647.htm","Engineering manager","Current employee, more than 10 years","Bengaluru","","",""
"3.0","23 May 2022","Good Work-life balance, Cultural Politics","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW64536829.htm","Specialist, fp","Current employee, more than 3 years","Bengaluru","Flexibility, Work life Balance, Maternity Options, Transportation service, Health & Safety is prime","Cultural Politics (preference to same cultural people by senior management, micro management, hardly any increment, cannot justify the increment or Performance ratings.","Show more"
"4.0","26 Jul 2022","Decent company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67171152.htm","Senior software engineer - r&d","Current employee, more than 5 years","Bengaluru","work life balance, 10 days wfh in a month","lower salary then other Software and silicon based companies,
3 months notice period","Show more"
"4.0","16 Aug 2022","Go","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW67981082.htm","Proposal specialist","Former employee, more than 8 years","Bengaluru","","",""
