"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","18 Sept 2020","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW36101206.htm","Anonymous employee","Current employee","Gurgaon, Haryana","","","Good work culture
Nice ambience 
Good perks 
Good salary 
Nice staff","Long working hours
Politics
No importance to personal review","Show more"
"5.0","19 Sept 2020","good better best","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW36150231.htm","Sales associate","Former employee","Girīdīh","","","people at hero are good salary good","to much pressure of work","Show more"
"5.0","12 Oct 2020","Induction training","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW37022777.htm","Security officer","Current employee, less than 1 year","Gurgaon, Uttar Pradesh","","","Salary, environment, other benifits are good","E training was distributed due to network issue","Show more"
"5.0","25 Nov 2020","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW38726374.htm","Deputy manager","Former employee, more than 1 year","Jaipur, Rajasthan","","","Healthy lifestyle, culture is good, great place to work","None None None None None","Show more"
"5.0","26 Nov 2020","Friendly culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW38765972.htm","Executive store","Current employee, more than 5 years","Nīmrāna","","","Good leaves Nice salary nice culture","Grade structure not good for beginners","Show more"
"3.0","11 Dec 2020","Job title","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW39359459.htm","Anonymous employee","Current employee","Ludhiana","","","Staff is good and good behaviour","Seniors are not good and selfish","Show more"
"5.0","16 Mar 2021","Good to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW44055257.htm","Anonymous employee","Current employee, more than 5 years","","Joined with many dreams & Achieved the same","Good Company to Work & Life Balance.","","",""
"5.0","20 Mar 2021","Virtual Induction Proram","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW44294043.htm","Engineer","Current employee, less than 1 year","Jaipur, Rajasthan","Very informative and interactive to understand organization.","Not able to visit plants and Gurukul physically.","","",""
"4.0","25 May 2021","Good organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW47468450.htm","Anonymous employee","Current employee","","Great company to work with. very stable","One line of business. diverse experience could be a challenge","","",""
"5.0","12 Jun 2021","Good work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW48265524.htm","After sales management","Current employee, less than 1 year","New Delhi","You will find respect for every individual.","One could get addicted to this nice environment.","","",""
"5.0","24 Jul 2021","The Best place to be","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW50213554.htm","Team leader","Current employee, less than 1 year","Chittoor","Best team members and very good hr staff","Nothing it is too nice","","",""
"5.0","21 Aug 2021","Induction Program","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW51423390.htm","Team manager","Current employee, more than 3 years","Haridwār","Very good Induction before Starting work in Operations","Physical Visit of Different Plants was not possible","","",""
"4.0","8 Oct 2021","Program manager vendor management","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW53746173.htm","Associate manager","Current employee","Gurgaon, Haryana","Growth opportunities, largest manufacturer in world. Good supply chain processes","Slow moving and heriachical culture","","",""
"5.0","8 Nov 2021","Satisfied","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW55061683.htm","Associate manager","Current employee, less than 1 year","Jaipur, Rajasthan","Good place to work. Team is friendly.","Timelines to be followed and reviews need to be stringent.","","",""
"5.0","9 Nov 2021","Information System","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW55094883.htm","Lead information security manager","Current employee, less than 1 year","Gurgaon, Haryana","Great Onboarding Procedure, Awesome team and Culture, Best Place to work...","No Cons as of now","","",""
"5.0","23 Nov 2021","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW55760651.htm","Team manager","Former employee, more than 10 years","Haridwār","","","Great place to work 
Innovative 
Great leaders and motivation","None of these things type","Show more"
"5.0","29 Nov 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW56002693.htm","Store manager","Current employee, more than 10 years","","","","Good work culture and helping colleague","Not bad anything at this moment","Show more"
"5.0","18 Dec 2021","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW56844546.htm","After sales","Current employee","Dehradun","Excellent organisational who take of its employee.","Nothing all good a great work culture","","",""
"4.0","14 Jan 2022","Culture Orientation","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW57957449.htm","Program manager","Current employee","Jaipur, Rajasthan","Very Good employee-centric organization to work with","Culture at Hero needs to evolve","","",""
"5.0","3 Apr 2013","feel like heaven","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW2525339.htm","Anonymous employee","Current employee","","world number 1 manufacture in bikes,","donot know, will tell about this later onwards","","",""
"2.0","28 May 2014","Appraisal process not transparent","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW4304849.htm","Assistant manager","Current employee, more than 1 year","Dhāruhera","","","Standard job with secure future","Slow and partial growth
Remote location","Show more"
"4.0","5 Aug 2015","Hero","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW7475528.htm","Senior manager","Current employee, more than 1 year","Dhāruhera","great place to work. About to move to JAIPUR","Somewhat immature work culture but lot of opportunities","","",""
