"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"3.0","7 Oct 2024","Overall good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91682918.htm","Senior specialist - architecture","Current employee, more than 1 year","Hyderābād","Good initial joining compensation and worklife balance","No proper hikes and promotions","Show more",""
"4.0","8 Oct 2024","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91722178.htm","Human resource associate","Current contractor","Bengaluru","","","",""
"4.0","30 Sept 2024","Ok ok","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91478942.htm","Techical specialist","Current employee, more than 3 years","Pune","As a service based , company is good ,","Employee Policy is average. If you or on bench then so it will take so much to deploy on projects","Show more",""
"5.0","6 Oct 2024","LTIMINDTREE","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91669056.htm","Database administrator","Former employee, less than 1 year","Pune","","","",""
"4.0","6 Oct 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91668148.htm","Software engineer","Former employee","Hyderābād","","","",""
"2.0","5 Oct 2024","No hike no pormotion","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91651337.htm","Senior software engineer","Former employee","Calcutta","Good for job security other are nothing","No hike no promotion hectic work environment","Show more",""
"4.0","5 Oct 2024","Work Life","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91650152.htm","Senior quality engineer","Current employee","Bengaluru","","","",""
"1.0","12 Oct 2024","Pathetic","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91859852.htm","Senior specialist","Current employee, more than 1 year","Chennai","- Good package while joining","- Not much benefits other Health Insurance","Show more",""
"5.0","2 Oct 2024","Excellent for Cloud Technologies","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91567577.htm","Tech lead","Former employee, more than 1 year","Pune","Good exposure to Cloud technologies
lot of new projects to hone your skills.","Sometimes we need to work extra hours.","Show more",""
"3.0","3 Oct 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91598547.htm","Software engineer","Current employee, more than 3 years","Pune","","","",""
"3.0","7 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91696124.htm","Senior data engineer","Current employee, more than 5 years","Pune","","","",""
"4.0","2 Oct 2024","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91562852.htm","Senior software engineer","Former employee, more than 1 year","Airoli","- Good projects to choose from
- Many learning opportunities","- May shift projects without prior notice
- Less leaves
- work timings can be hectic based on assigned project","Show more",""
"4.0","4 Oct 2024","Associate trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91621796.htm","Associate trainee","Current employee","Bengaluru","","","",""
"4.0","6 Oct 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91662437.htm","Senior software engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","6 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91667951.htm","Engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","3 Oct 2024","Good for long term","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91577867.htm","Specialist - product engineering","Former employee, more than 3 years","Pune","- Job security
- Process oriented","- Sometimes management is difficult to contact and get things done like approvals of assets, WFH, insurances, PF transfer, etc.","Show more",""
"1.0","1 Aug 2024","Please take note of the following information:","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89701192.htm","Business manager","Current employee, more than 3 years","","Jai Mindtree!! It will always have a place in our hearts.","Please take note of the following information:

1. The company now prioritizes leadership over employee-centric approaches.
2. They have a tracker that monitors all computer logs to calculate your productivity.
3. No raise has been given this year.
4. no office space is available at the satellite office; the reception guard will send you back if you come without booking a seat.
5. The leadership team wants everyone to work in the office for 7 hours, but considering the lack of available office seats as mentioned in point number 4, working 6 hours from the office doesn't seem logical.
6. In every team call, issues from coworkers are significantly raised to notify you that this company's policies are more inclined towards leadership than supporting employees to do their best.
7.I have witnessed HR working under a considerable amount of stress, which is unbelievable to me.
8. I have seen emails from many people, even from onsite, asking to be added to any project as they are in their last few days on the bench.","Show more","2"
"2.0","10 Sept 2024","LTI mixed reviews !","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW90898894.htm","Anonymous employee","Current employee","","Good opportunities workwise, better than other service providers in this aspect","Leave policies are the worse , LTI clearly is not employee friendly when it comes to this aspect. Sick leaves can only be opted if you have been sick for atleast 3 consecutive days! I mean like seriously ? 1-2 days people don’t fall sick ? We need to apply for PL in such scenarios thus reducing our PL quota . So they clearly discourage employees from taking leaves by having such pathetic policies","Show more","1"
"2.0","7 Oct 2024","LTImindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91680169.htm","Senior software engineer","Current employee, more than 3 years","Noida","","","",""
"4.0","7 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91680147.htm","Sr. software engineer","Current employee","Hyderābād","","","",""
"4.0","20 Sept 2024","I have been working at LTIMindtree as a Graduate Engineer Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91187681.htm","Graduate engineer trainee","Current employee, less than 1 year","Bengaluru","One of the things I really appreciate about LTIMindtree is the collaborative work culture. The company provides a wide range of learning opportunities, and management is generally supportive of employees looking to upskill. The work-life balance is good, with flexible working hours.","One area where LTIMindtree could improve is in terms of internal communication between departments.","Show more",""
"2.0","7 Oct 2024","decent company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91680920.htm","Senior software engineer","Current employee, more than 1 year","Mumbai","Time and work culture is flexible","no hike/salary expectations
No growth","Show more",""
"3.0","6 Oct 2024","Nothing much to be honest","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91664232.htm","It specialist","Former employee","Hyderābād","","","",""
"4.0","27 Sept 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91418645.htm","Cloud engineer","Current employee, more than 1 year","Navi Mumbai","Good for experience who know what project they will join","Very bad for fresher they will put you in ticket assigning job","Show more",""
"4.0","6 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91660423.htm","Data engineer","Former employee, more than 1 year","Pune","","","",""
"5.0","4 Oct 2024","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91635271.htm","Software engineer","Current employee","Pune","","","",""
"4.0","5 Oct 2024","LTIMIindtree Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91644467.htm","Software engineer","Former employee, more than 1 year","Powai, Maharashtra","Great team work
Flexible working 
Work life balance","Less project switching opportunities 
Otherwise good experience","Show more",""
"5.0","1 Oct 2024","Good team","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91534230.htm","Assistant manager","Former employee, more than 1 year","Hyderābād","Good work life balance
Leave policy","Lack of higher management
It should be flexible shifts","Show more",""
"3.0","20 Sept 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91206769.htm","Specialist","Current employee, less than 1 year","Pune","Job security is there in this company.","Sick Leave Policy is bad. You can only opt of sick leave for 3 days in a row. If you are not well for 1 or 2 days, you will have to burn your EL.","Show more",""
"5.0","4 Oct 2024","Best to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91616576.htm","Consultant","Current employee, more than 3 years","Navi Mumbai","","","",""
"5.0","5 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91647690.htm","Speacilist","Current employee, more than 3 years","Bengaluru","","","",""
"3.0","1 Oct 2024","Project experience not good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91506535.htm","Senior manager","Current employee","Pune","","","",""
"2.0","4 Oct 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91634153.htm","Software engineer","Former employee","Chennai","","","",""
