"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"3.0","29 Sept 2024","Great at Tech, ok ok at people, not good at processes","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91454993.htm","Principal architect","Current employee, more than 3 years","Mumbai","Great projects, superb technology focus, Good work life balance if you are in the same city as their office","Immature middle management and always being yes Sir to customers","Show more",""
"3.0","4 Oct 2024","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91617258.htm","Senior software engineer","Current employee, more than 5 years","Bengaluru","Company location is in a residential locality
Good company to start the career","Worst policies after LTI merged with mindtree 
HR and managerial heads take no responsibility","Show more",""
"4.0","8 Jul 2024","AEM Architect","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88939198.htm","Technical architect","Current employee, more than 1 year","Hyderābād","Global Presence: LTI Mindtree has a strong global presence with offices and clients across various countries, offering employees opportunities for international exposure and career growth.

Diverse Clientele: The company works with a diverse range of clients across multiple industries, providing employees with exposure to different domains and technologies.

Learning Opportunities: LTI Mindtree invests in employee development through various training programs and certifications, encouraging continuous learning and skill enhancement.

Work Culture: Many employees appreciate the inclusive and collaborative work culture, which promotes teamwork and innovation.

Job Stability: As a well-established IT services company, LTI Mindtree offers job stability and growth opportunities, especially for those who align well with its business goals and culture.","Work-Life Balance: Some employees report that the work-life balance can be challenging due to high workloads and tight project deadlines.

Compensation: While competitive, some employees feel that the compensation and benefits could be better compared to industry standards, especially for mid-level positions.

Bureaucracy: Like many large organizations, there can be bureaucratic hurdles and slower decision-making processes, which may affect agility and innovation.

Project Allocation: Employees sometimes face issues with project allocation, including being placed in roles that do not match their skill set or career aspirations.

Career Progression: While there are opportunities for growth, some employees feel that the career progression can be slow and may require navigating internal politics.","Show more",""
"3.0","9 Oct 2024","Good place to work and learn.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91768183.htm","Software engineer","Current employee, more than 3 years","Pune","","","",""
"5.0","10 Oct 2024","LTI Mindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91796328.htm","Graduate engineer trainee","Current employee","Pune","","","",""
"4.0","10 Oct 2024","Good policies","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91796078.htm","Software engineer","Current employee, more than 1 year","Navi Mumbai","","","",""
"3.0","10 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91809533.htm","Associate principal","Current employee","Chennai","","","",""
"5.0","10 Oct 2024","Its nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91798634.htm","Consultant- package implementation","Current employee, more than 1 year","Whitefield","Workplace is good
Colleagues are in friendly nature","Hike will be in slow process","Show more",""
"4.0","7 Oct 2024","Good Company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91688031.htm","Specialist software engineer","Current employee, more than 5 years","Mumbai","If you get good projects you can be assured of job safety.","Otherwise in some projects there are ramp downs.
Low appraisals and promotions","Show more",""
"3.0","13 Jan 2024","Pathetic Appraisal, Pathetic Client","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW83324388.htm","Data engineer","Current employee, more than 1 year","Hyderābād","When somebody asks where do you work, you don't have to explain. Just say the name and they will know it. It will also do good on resume. Then, my first client was really good and I still miss them now.","The appraisal I got was ridiculous to say the least. I have received 4/4 rating from the my LTIMindtree manager for outstanding performance and also received very good complements from my client back then. Still they gave me 0.4% increment, which is merely ₹500/- increment per month. I am asking, why do they care to give an increment at all after all? The employee is putting his effort and earning good complements from the customer, also getting excellent reviews from the manager, but still. Manager said he gave me maximum reviews for my performance but rest is not in his hands, every other decision is made by the upper management. What is the point of dedication and hard work in a company where they treat you like this?

To top in all of, the next client where I got in turned to be a real head ache, and cracked the record of being in the worst team and worst project that I have ever been part of in my whole career. I would like to mention the client's name, but I am not doing that right now out of professionalism.","Show more","28"
"5.0","9 Oct 2024","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91790824.htm","Servicenow consultant","Current employee, less than 1 year","Chennai","","","",""
"3.0","9 Oct 2024","Overall Good Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91763873.htm","Software engineer","Former employee, more than 1 year","Powai, Maharashtra","Job Security, Good Compensation and Benefits","Limited Opportunities for Growth, Lack of Communication","Show more",""
"4.0","9 Oct 2024","Good for me","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91791740.htm","Software engineer","Current employee","Bengaluru","","","",""
"5.0","7 Oct 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91714549.htm","Specialist software engineer","Current employee, more than 5 years","Mahape","","","",""
"4.0","8 Oct 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91735630.htm","Production support","Current employee, more than 3 years","Hyderābād","","","",""
"3.0","8 Oct 2024","Not good work culture. Management is abusive.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91751486.htm","Senior consultant","Former employee, more than 1 year","Mumbai","","","",""
"5.0","8 Oct 2024","Excellent work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91730835.htm","Senior cloud engineer","Former employee, more than 1 year","Pune","Good client handling
Employee engagement activity is a plus 
Work-life balance","Personal review feedback takes time","Show more",""
"3.0","9 Oct 2024","No pros, only cons","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91776252.htm","Senior consultant","Current employee, more than 3 years","Mumbai","No pros to work here","No salary hikes
Lack of growth","Show more",""
"2.0","9 Oct 2024","Appraisal is bad","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91771738.htm","Anonymous employee","Current employee, more than 3 years","Pune","","","",""
"2.0","8 Oct 2024","Bad salary hike","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91753629.htm","Software engineer","Current employee","Mumbai","","","",""
"4.0","8 Oct 2024","company was good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91754445.htm","Linux administrator","Current employee, more than 1 year","Bengaluru","","","",""
"3.0","9 Oct 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91767264.htm","Software engineer","Current employee, more than 3 years","Chennai","","","",""
"5.0","8 Oct 2024","Nice Company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91729242.htm","Specialist quality assurance","Current employee, more than 5 years","Pune","Work life balance 
Nice Company","Nothing as such every is good","Show more",""
"4.0","8 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91754307.htm","Senior software engineer","Current employee","Noida","","","",""
"4.0","9 Oct 2024","Power platform development","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91756586.htm","Specialist software engineering","Current employee","Pune","Good quality work
Friendly colleague","Appraisal is not good
RTO policy not good","Show more",""
"4.0","7 Oct 2024","Good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91691806.htm","Software engineer","Current employee, more than 1 year","New Delhi","","","",""
"4.0","7 Oct 2024","Good for SFDC Projects","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91696203.htm","Specialist software engineer","Current employee, more than 1 year","Hyderābād","","","",""
"3.0","9 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91764812.htm","Data engineer","Current employee","","","","",""
"2.0","7 Oct 2024","Not so good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91713143.htm","Specialist data engineer","Current employee, more than 1 year","Pune","","","",""
"5.0","8 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91726298.htm","Project manager","Current employee, more than 5 years","Pune","","","",""
"4.0","8 Oct 2024","Best company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91718495.htm","Software engineer","Current employee, less than 1 year","Bhubaneshwar","Work life balance and culture","Less holiday and paid holiday","Show more",""
"4.0","5 Oct 2024","Decent Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91652643.htm","Senior software engineer","Former employee, more than 1 year","Hyderābād","","","",""
"1.0","27 Sept 2024","Worst Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91429547.htm","Sr. software engineer","Former employee, more than 1 year","Pune","There are no Pros to mentioned","Lots of Cons.
1. Project manager not supportive 
2. Internal politics 
3. 90% of the employees are not happy with the company. I met none who is happy here.
They care only about clients 
4.Employees are treated like slaves. Our Manager only said, only clients are important, so not our health,family time etc.
5.HRs are not trustworthy and not helpful.
Except salary there are no other benefits like rewards,bonus, appreciations, timeouts,food etc.","Show more",""
"4.0","7 Oct 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91693483.htm","Sse- development","Current employee, more than 3 years","Pune","","","",""
"4.0","7 Oct 2024","GOOD","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91698017.htm","Senior software engineer","Current employee","Mumbai","","","",""
"5.0","8 Oct 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91718449.htm","Cloud and infrasrtucutre engineer","Current employee, more than 5 years","Hyderābād","better life balance and work balance","good good godd good good","Show more",""
