"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","6 Jun 2024","Pros good salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW88025208.htm","Assistant manager","Former employee, more than 3 years","Good salary and perks and bonus","Harss working condition and location","Sonbhadra","","",""
"4.0","6 Jun 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW88006851.htm","Mining engineer","Current employee, more than 1 year","Good package and well reputed company","Job location is not satisfied","Nāgpur, Maharashtra","","",""
"5.0","17 May 2024","Good company !!","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW87377563.htm","Manager (electrical and mechanical)","Current employee","","","","Great work life balance
Challenging scenarios to apply your skills
Managerial experience in key roles","Location of mines is a bit remote","Show more"
"4.0","21 May 2024","Good company to start with","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW87508471.htm","Assistant manager","Current employee","Less work load easy work life balance","No downside till now may be there","Dhanbad-Cum-Kenduadih-Cum-Jagata","","",""
"5.0","15 Apr 2024","Thankful to CIL","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW86315718.htm","Assistant manager","Former employee, more than 8 years","","","Rānchī","There was so much to learn from experienced peers. It is a tough and demanding job that grooms one's managerial and leadership skills. Highly recommended.","Only cons are the locations of the projects in faraway areas. But one can embrace that journey too.","Show more"
"4.0","23 May 2024","Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW87572921.htm","Management trainee","Current contractor","","","","Good culture 
Smooth interview process","Core subject are asked in deep","Show more"
"5.0","19 May 2024","About","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW87424915.htm","Product engineering manager","Current employee, more than 8 years","Perks of a peaceful life","Forget about city life and good lifestyle","Nāgpur, Maharashtra","","",""
"4.0","18 May 2024","salary on time","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW87409850.htm","Assistant manager","Current employee, more than 1 year","","","Bilāspur, Chhattisgarh","good people at office area","no cons as of now","Show more"
"4.0","22 Mar 2024","It's good in terms of job security and salary.","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW85608763.htm","Dy manager","Current employee, more than 5 years","","","Shahdol","Salary is good,
Work is moderate.
Job security.
Apart from salary you will get 
Free unlimited medical benefits.
Free unlimited water and electricity.
A big 3 bhk house with a big garden.","The quality of work environment.
Quality of work place.
Basic amenities at office premise.
Office quality.
Quality of govt quarter.
Everything is poor.","Show more"
"5.0","9 Mar 2024","Overview on the basis of criteria given.","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW85161355.htm","General manager","Former employee, more than 10 years","","","Calcutta","Coal India implemented S.A.P 5 years ago and now digitalizing its operation. So scope of innovative jobs are immense.","Being a mining company the awareness towards digitalization is less among the operation people.","Show more"
"4.0","24 Apr 2024","Stable and secure PSU job","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW86649291.htm","Manager","Current employee, more than 5 years","The organisation offers great work life balance","Growth is mostly time based rater than performance based","Bengaluru","","",""
"2.0","2 May 2024","Working at CIL","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW86902269.htm","Assistant manager","Current employee","Handsome pay and Job security","Work Culture is not good","Rānchī","","",""
"4.0","29 Apr 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW86805328.htm","Asst manager","Current employee, more than 1 year","Chilled environment to work at","Maybe not stimulating enough for many","Bilāspur, Chhattisgarh","","",""
"5.0","17 Nov 2023","Very Good Company to Lear and Earn","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW81915995.htm","General manager","Former employee, more than 10 years","","","Sambalpur, Orissa","Very good Salary, perks. Freedom of work. Very good company for cross discipline knowledge. An honest and hardworking employee gets good rewards. Much better than all the present days startups and Private Sector and most of the MNC jobs, where the politics is worse.","Somewhat Poor work life balance for those working in field. Very tough working conditions for those in key positions. Location of place of work and logistics may be problem since the mines are generally located in remote places. However, now the situation has greatly improved in most of the mining areas and it is very very good in corporate HQs.","Show more"
"4.0","27 Mar 2024","Great learning experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW85759224.htm","Intern","Former intern","Lots to learn and supporting seniors","Less work life balance and less pay","Rānchī","","",""
"1.0","27 Apr 2024","Totalbworst","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW86741131.htm","Asst manager","Current employee, more than 1 year","Nothing is good here worst company","Worst worst worst corrupt corrupt corrupt","Rānchī","","",""
"3.0","19 Feb 2024","Nice salary and healthy environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW84521881.htm","Field engineer","Current employee","Healthy Environment and less work load with good amount of salary","Initial payment is very less","Dhanbad-Cum-Kenduadih-Cum-Jagata","","",""
"3.0","12 Jan 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW83303469.htm","Assistant manager","Current employee","","","","Pay scale is good for new joinee.
You can learn if you are interested.
Security of job","Problems regarding working culture.
Pollution.
Outdated system of working.
Way behind other psu in terms of allowances.
Skill upgradation is questionable.","Show more"
"5.0","30 Jan 2024","Very good and supportive","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW83862175.htm","Internship","Former employee, less than 1 year","Helpful management and good office space and culture","Not a lot of interns work here in any given point of time","","","",""
"4.0","3 Feb 2024","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW84016405.htm","Supervisor","Current employee","","","","Good salary
Timely payout
Pay commission after 5 years","Remote location
Residential facilities not upto mark","Show more"
"5.0","21 Jan 2024","Maharatna good for career growth as they are diversifying.","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW83575068.htm","Assistant manager","Current employee, more than 1 year","Good work here psu work life balance","Nothing psu work life balance","Jharsuguda","","",""
"5.0","19 Jan 2024","Pratical trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW83544633.htm","Mining engineer","Former employee, less than 1 year","Good working experience and learning new skills","Managers pressure and skilled people used for normal works","Rānchī","","",""
"5.0","28 Dec 2023","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW82905774.htm","Office assistant","Current intern, more than 1 year","Good ambience, friendly people, great opportunities.","Too much breaks, delay in work, lazy working mechanism.","Calcutta","","",""
"4.0","1 Jan 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW82959951.htm","Senior mining engineer","Current employee","work life balance is good","job location are mostly far from cities or remote areas","Nāgpur, Maharashtra","","",""
"5.0","27 Dec 2023","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW82874571.htm","Deputy manager human resources","Former employee","Big organization spread across multiple geographies with challenging assignments.","Big organizations are not able to support innovation.","","","",""
"4.0","29 Dec 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW82916969.htm","Assistant manager","Current employee","Good one to start and learn","Remote location and to change the location","Chatra, Jharkhand","","",""
"5.0","23 Dec 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW82814077.htm","Finance interm","Former intern","Very Good team to work with.","Probably nothing. Seniors are very polite and helpful.","","","",""
