review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,14 Aug 2024,Branch operation and customer service,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90091785.htm,Branch operations manager,"Current employee, more than 3 years",Indore,Good Growth in BAJAJ FINANCE LIMITED,No any reason of Bajaj finance limited,Show more
2.0,24 Jul 2024,Join only if you work for money.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89438438.htm,Anonymous employee,"Current employee, more than 3 years",,Money...! Only motivation to work here,"No work life balance
You may need to work 24×7
Offensive use of language
Your manager only demotivate to you
No life... you may get call even when you are on date or marriage or funeral and for every call you are bind to answer",Show more
4.0,14 Aug 2024,It's good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90103948.htm,Area manager,Current employee,Bengaluru,,,
3.0,17 Aug 2024,Data Analyst,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90170240.htm,Credit risk analyst,Current employee,Pune,"Good exposure and
Learning experience",No work life balance though it depends on the team,Show more
5.0,18 Aug 2024,good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90187502.htm,Senior business analyst,Current employee,,,,
2.0,15 Aug 2024,It's going down,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90130718.htm,Team lead,Current employee,Pune,,,
3.0,8 Aug 2024,Bajaj finance limited is good in terms of stability.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89928897.htm,Sales manager,"Current employee, more than 1 year",New Delhi,In Bajaj finance limited job stability is good,"Work life balance 
Salary 
Culture",Show more
5.0,3 Aug 2024,About job in bajaj,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89753759.htm,Senior business analyst,Current employee,New Delhi,It's good company work for long time,It's not well for fresher who don't know,Show more
4.0,7 Aug 2024,Good company with exhaustive work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89873272.htm,System analyst,"Current employee, more than 3 years",Pune,,,
5.0,3 Aug 2024,Project Delivery Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89764723.htm,Project delivery manager,"Current employee, more than 5 years",Pune,"Learning New technology, Free hands on each tool",Work Life Balance needs to manage,Show more
