"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","27 Jan 2022","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58637668.htm","Manager","Former employee","","","","Great place to work with
Increasing capabilities","Need to think about retaining employees","Show more"
"4.0","17 Jan 2022","Chartered Accountant | Finance Associate","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58047481.htm","Chartered accountant","Current employee","","","Hyderābād","Good workplace 
Knowledge of business","Work life balance
Pay scale
Work place culture","Show more"
"5.0","19 Jan 2022","Dr. Reddy's","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58195456.htm","Key account manager","Current employee","Nice company, with a good culture","No as such there are nothing","Pune","","",""
"3.0","25 Jan 2022","Internship review","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58492805.htm","Intern","Current intern, less than 1 year","Good learning experience, intro to pharma","monotonous, biased HR, slow growth.","Hyderābād","","",""
"5.0","14 Jan 2022","Too good","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW57938573.htm","Legal counsel","Former employee, more than 3 years","","","Hyderābād","Positive atmosphere and nice place to work","None all good. Already perfect","Show more"
"4.0","10 Jan 2022","Chill company but no growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW57692241.htm","Process engineering scientist","Current employee","","","Hyderābād","-chill environment
-working hours not too long","-no growth w.r.t salary or promotion","Show more"
"1.0","25 Mar 2022","Dirty politics  in marketing","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW61776166.htm","Asm manager","Former employee, more than 1 year","","","Mumbai","Knowledge about Industry and sales","Timings, dirty politics, sales pressure","Show more"
"5.0","16 Jan 2022","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW57996664.htm","Assistant manager","Former employee, more than 1 year","","","Hyderābād","Good good good good good","Bad bad bad bad bad","Show more"
"5.0","12 Jan 2022","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW57846862.htm","Anonymous intern","Former intern, less than 1 year","You get continuous feedback from your manager.","Work From Home not Available.","","","",""
"1.0","8 Mar 2022","My first job","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW60816574.htm","Process engineer","Former employee, less than 1 year","Hands-on learning, supportive managers in R&D","Management & company culture not employee friendly","Hyderābād","","",""
"4.0","24 May 2020","Drreddys YLP Deep Domain training","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW33333662.htm","Operational excellence","Current employee, more than 1 year","","","Visakhapatnam","1) Good place to learn and absorb the technical and leadership skills. 
2) The program is well thought of with the defined goals and guidance directly from plant head, though the working may differ based on the mentors. 
3) The workings involves providing solutions and implementing the action plan to eliminate the ongoing problems of the plant based on productivity, safety, quality etc.
4) Will be very good to get an in hand experience in Operational excellence, TPM, production planning, people management, leadership skills, working in plant and will give a lot of opportunities to use chemical & mechanical expertise or rigorous modelling approach to resolve the issue. 
5) HR support is excellent.
6) If you are joining the deep domain training. I would advise you to join the Madhu Sundar' team at FTOPU-1. It is one of the best team you can find.","1) Working in Vizag plants involves a lot of travel time. Every day almost (3 hrs or more time) goes to travelling apart from the work which may disturb the work life balance.","Show more"
"5.0","13 May 2020","YLDP Program","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW33152861.htm","Technical trainee","Current employee, less than 1 year","","","Visakhapatnam","The program has been nicely framed to get maximum exposure in both the R&D and Manufacturing Stints. 

1. Trainees get to work on diverse yet correlated projects, enabling a holistic and broader understanding of industry. For example, one gets to work on the development of a product in R&D and work on the same product's commercial execution in plant. This helps to get a perspective from different teams and different situations.

2. Apart from our mentors and managers, the senior leaders, including CXOs are well within our reach.

3. The program will definitely fastrack our career to take leadership roles in future.","People don't instill responsibilities early on in the stint. This could be mainly due to the nature of the pharma industry, cause you are dealing with expensive and potent chemicals. So one can expect to spend an initial couple of months, only learning and delivering a little to the projects.","Show more"
"2.0","23 Aug 2014","Dollops of dissatisfaction for management graduates","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW4833210.htm","Management trainee","Current employee, less than 1 year","","","Hyderābād","if you like to keep following up with people for every little thing this is the best place, the leadership will give your manager work and expect you to follow instructions, this is a preference for some people.","One of the most egotistical leadership, lot of lip service to values nothing works on the ground, purely top-down approach despite that system being discredited","Show more"
"2.0","7 Sept 2021","Top Management Does not value your Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW52184498.htm","Summer engineering intern","Former intern, less than 1 year","","","Visakhapatnam","- Team Bonding
- Good Accommodation & Stay
- Free healthy food/travel to company from hotel.","- Bad Salary
- Bad Middle Management (HR).
- Less Payment with Overtime working
- No Scope of Growth
- Please be very careful while working for this company. There is a lot of stress on employees in this company and they wont pay you enough. 

Purely business oriented and no value to employees from the HR Team.
Very Bad company for engineering students from IITs/NITs","Show more"
